alpha error
a=-1 0.005000 26.480000
a=0 0.010000 26.450000
a=1 0.020000 26.440000
a=2 0.040000 26.450000
a=3 0.080000 26.450000
a=4 0.160000 26.450000
a=5 0.320000 26.450000
a=6 0.640000 26.450000
a=7 1.280000 26.450000
a=8 2.560000 26.450000
a=9 5.120000 26.450000
a=10 10.240000 26.450000
a=11 20.480000 26.450000
a=12 40.960000 26.450000
a=13 81.920000 26.450000
a=14 163.840000 26.450000
